player_uid,season,league,team_id,name_full,avg,obp,slg,woba,wrc_plus,bb_pct,k_pct,iso,babip,pa,pa_or_bf,era,fip,xfip,k9,bb9,hr9,war,wraa,raa_def,raa_bsr,standard_scale,age,last_update_utc,data_version
milb_tmp:blake_dunn:2024,2024,MiLB,CIN,Blake Dunn,0.239554317,0.336561743,0.353760445,0.320369351429743,85.9461556198699,0.106888361,0.268408551,0.114206128,0.329166666,421.0,421.0,,,,,,,,-8.197323532367367,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:bryce_teodosio:2024,2024,MiLB,LAA,Bryce Teodosio,0.276283618,0.33916849,0.418092909,0.3371985301668847,87.56471906718193,0.075757575,0.259740259,0.141809291,0.372413793,462.0,462.0,,,,,,,,-7.423676644892982,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:ryan_bliss:2024,2024,MiLB,SEA,Ryan Bliss,0.269444444,0.377314814,0.455555555,0.3714822642505169,114.14109141634869,0.140877598,0.224018475,0.186111111,0.330739299,433.0,433.0,,,,,,,,6.502478102773031,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:adrian_del_castillo:2024,2024,MiLB,ARI,Adrian Del Castillo,0.312348668,0.398734177,0.602905569,0.4250250193666904,136.28226304962746,0.116033755,0.168776371,0.290556901,0.334415584,474.0,474.0,,,,,,,,30.13013877433772,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:tim_tawa:2024,2024,MiLB,ARI,Tim Tawa,0.278688524,0.349102773,0.519125683,0.3843890869014609,119.66657296332892,0.086460032,0.208809135,0.240437159,0.310432569,613.0,613.0,,,,,,,,25.671911383378983,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:billy_cook:2024,2024,MiLB,BAL,Billy Cook,0.275119617,0.375253549,0.47368421,0.3773463659170197,125.56844260661316,0.119675456,0.235294117,0.198564593,0.337931034,493.0,493.0,,,,,,,,15.685475051203069,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:trey_sweeney:2024,2024,MiLB,DET,Trey Sweeney,0.266821345,0.344969199,0.450116009,0.3502461809472939,102.85835431364102,0.100616016,0.266940451,0.183294664,0.346020761,487.0,487.0,,,,,,,,-1.8835809965975847,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:connor_norby:2024,2024,MiLB,MIA,Connor Norby,0.292875989,0.381818181,0.496042216,0.3880097837610678,132.8170783640338,0.120454545,0.279545454,0.203166227,0.386831275,440.0,440.0,,,,,,,,17.019391128357004,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:chad_stevens:2024,2024,MiLB,LAA,Chad Stevens,0.27118644,0.329646017,0.435835351,0.349670180441004,114.35564208340334,0.061810154,0.289183222,0.164648911,0.372262773,453.0,453.0,,,,,,,,5.07337735619648,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:caleb_durbin:2024,2024,MiLB,NYY,Caleb Durbin,0.274626865,0.388059701,0.450746268,0.3779624907155881,125.05045245208343,0.130541871,0.098522167,0.176119403,0.284722222,406.0,406.0,,,,,,,,13.068637653538024,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:braxton_fulford:2024,2024,MiLB,COL,Braxton Fulford,0.241486068,0.341269841,0.411764705,0.3463114231982559,117.79147891979856,0.100263852,0.25065963,0.170278637,0.306306306,379.0,379.0,,,,,,,,7.994002598049675,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:colson_montgomery:2024,2024,MiLB,CHW,Colson Montgomery,0.214432989,0.328671328,0.381443298,0.3241630448142618,80.77095088852835,0.120418848,0.286212914,0.167010309,0.281045751,573.0,573.0,,,,,,,,-9.28809002271024,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:jack_winkler:2024,2024,MiLB,OAK,Jack Winkler,0.223404255,0.310280373,0.344680851,0.3065897189499287,86.50132357962481,0.089552238,0.218283582,0.121276596,0.277936962,536.0,536.0,,,,,,,,-7.989146162319449,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:liam_hicks:2024,2024,MiLB,DET,Liam Hicks,0.263546798,0.37854251,0.357142857,0.3492239843978573,116.48864867752572,0.129554655,0.117408906,0.093596059,0.288571428,494.0,494.0,,,,,,,,9.725571707766475,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:denzel_clarke:2024,2024,MiLB,OAK,Denzel Clarke,0.269141531,0.338912133,0.445475638,0.3572973758605733,119.18544272301035,0.081589958,0.299163179,0.176334107,0.373188405,478.0,478.0,,,,,,,,11.74426110250531,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:darren_baker:2024,2024,MiLB,WSN,Darren Baker,0.285057471,0.347916666,0.340229885,0.3190109866645988,85.55025920621063,0.089026915,0.188405797,0.055172414,0.358381502,483.0,483.0,,,,,,,,-9.968581062332404,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:tyler_black:2024,2024,MiLB,MIL,Tyler Black,0.258397932,0.374458874,0.428940568,0.3642373406964631,116.4773172332362,0.132034632,0.188311688,0.170542636,0.298611111,462.0,462.0,,,,,,,,8.42822090273244,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:harry_ford:2024,2024,MiLB,SEA,Harry Ford,0.248837209,0.377394636,0.36744186,0.3546400643399849,130.1438396823713,0.141491395,0.219885277,0.118604651,0.322580645,523.0,523.0,,,,,,,,11.767986363996378,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
