year,league,role,age_group,weight,share
1916,MLB,batting,24-26,25976.0,0.2809188043431241
1916,MLB,batting,27-29,26801.0,0.28984080979365834
1916,MLB,batting,30-32,15534.0,0.16799325171951376
1916,MLB,batting,33-35,6028.0,0.06519011982523684
1916,MLB,batting,36+,2209.0,0.02388934550330925
1917,MLB,batting,<=23,12574.0,0.13575461818338858
1917,MLB,batting,24-26,28077.0,0.303132051434309
1917,MLB,batting,27-29,28792.0,0.31085151636202674
1917,MLB,batting,30-32,15330.0,0.16550964663204604
1917,MLB,batting,33-35,5554.0,0.059963507983978065
1917,MLB,batting,36+,2296.0,0.024788659404251644
1918,MLB,batting,<=23,9010.0,0.1185978860354609
1918,MLB,batting,24-26,16841.0,0.22167669242210844
1918,MLB,batting,27-29,22684.0,0.29858761895986624
1918,MLB,batting,30-32,18435.0,0.24265838280396468
1918,MLB,batting,33-35,6478.0,0.08526937910518487
1918,MLB,batting,36+,2523.0,0.033210040673414855
1919,MLB,batting,<=23,8236.0,0.09816214154608949
1919,MLB,batting,24-26,20080.0,0.23932683368692045
1919,MLB,batting,27-29,26409.0,0.3147600772329623
1919,MLB,batting,30-32,19799.0,0.2359776882553455
1919,MLB,batting,33-35,7412.0,0.08834115992467402
1919,MLB,batting,36+,1966.0,0.023432099354008248
1920,MLB,batting,<=23,11427.0,0.12079153497320325
1920,MLB,batting,24-26,19416.0,0.2052409593978922
1920,MLB,batting,27-29,30609.0,0.32355894757983533
1920,MLB,batting,30-32,22504.0,0.23788332047229946
1920,MLB,batting,33-35,8405.0,0.08884684094248475
1920,MLB,batting,36+,2240.0,0.02367839663428505
1921,MLB,batting,<=23,7970.0,0.0834065888065637
1921,MLB,batting,24-26,24752.0,0.25903135334254257
1921,MLB,batting,27-29,28524.0,0.2985055883461007
1921,MLB,batting,30-32,20169.0,0.2110699485118674
1921,MLB,batting,33-35,13196.0,0.13809703210682742
1921,MLB,batting,36+,945.0,0.009889488886098204
1922,MLB,batting,<=23,8288.0,0.08619416567001197
1922,MLB,batting,24-26,23374.0,0.24308668295980448
1922,MLB,batting,27-29,27143.0,0.2822838125942489
1922,MLB,batting,30-32,21435.0,0.22292132494410066
1922,MLB,batting,33-35,12099.0,0.12582809006291926
1922,MLB,batting,36+,3816.0,0.03968592376891477
1923,MLB,batting,<=23,9950.0,0.10350566940601269
1923,MLB,batting,24-26,24446.0,0.2543014667637574
1923,MLB,batting,27-29,25102.0,0.26112555913866636
1923,MLB,batting,30-32,20934.0,0.21776760636637887
1923,MLB,batting,33-35,11704.0,0.12175179444502236
1923,MLB,batting,36+,3994.0,0.04154790388016228
1924,MLB,batting,<=23,9678.0,0.10156577953152549
1924,MLB,batting,24-26,21437.0,0.2249706153975317
1924,MLB,batting,27-29,26442.0,0.2774955923096298
1924,MLB,batting,30-32,19258.0,0.20210309797666023
1924,MLB,batting,33-35,12104.0,0.12702543867013685
1924,MLB,batting,36+,6369.0,0.06683947611451599
1925,MLB,batting,<=23,9303.0,0.0966786523392846
1925,MLB,batting,24-26,21268.0,0.22102134558227507
1925,MLB,batting,27-29,27945.0,0.2904100762787604
1925,MLB,batting,30-32,21439.0,0.2227984120715815
1925,MLB,batting,33-35,12108.0,0.12582877808492507
1925,MLB,batting,36+,4163.0,0.043262735643173365
1926,MLB,batting,<=23,9860.0,0.10363783516749178
1926,MLB,batting,24-26,21420.0,0.22514426260524076
1926,MLB,batting,27-29,27491.0,0.2889561588833181
1926,MLB,batting,30-32,16998.0,0.1786649008293129
1926,MLB,batting,33-35,14181.0,0.14905559234383375
1926,MLB,batting,36+,5189.0,0.05454125017080272
1927,MLB,batting,<=23,9596.0,0.10040702723629553
1927,MLB,batting,24-26,19566.0,0.2047273754590828
1927,MLB,batting,27-29,27571.0,0.28848709336514217
1927,MLB,batting,30-32,18852.0,0.19725648993941677
1927,MLB,batting,33-35,12442.0,0.13018593506398385
1927,MLB,batting,36+,7544.0,0.07893607893607893
1928,MLB,batting,<=23,12577.0,0.13158059926347507
1928,MLB,batting,24-26,21943.0,0.22956771007700033
1928,MLB,batting,27-29,24543.0,0.25676891529963175
1928,MLB,batting,30-32,19784.0,0.20698024774020757
1928,MLB,batting,33-35,9734.0,0.10183712755272849
1928,MLB,batting,36+,7003.0,0.07326540006695681
1929,MLB,batting,<=23,12138.0,0.1260148252735616
1929,MLB,batting,24-26,23940.0,0.2485413508855713
1929,MLB,batting,27-29,23539.0,0.24437823134901684
1929,MLB,batting,30-32,21431.0,0.22249330371047113
1929,MLB,batting,33-35,8164.0,0.084757376300326
1929,MLB,batting,36+,7110.0,0.07381491248105314
1930,MLB,batting,<=23,9723.0,0.09999074445438559
1930,MLB,batting,24-26,24310.0,0.25000257098489287
1930,MLB,batting,27-29,28549.0,0.2935961908287827
1930,MLB,batting,30-32,20477.0,0.21058423060706094
1930,MLB,batting,33-35,9813.0,0.10091629901582698
1930,MLB,batting,36+,4367.0,0.0449099641090509
1931,MLB,batting,<=23,9353.0,0.0973044391964295
1931,MLB,batting,24-26,25350.0,0.26373009019881194
1931,MLB,batting,27-29,23716.0,0.24673068320138158
1931,MLB,batting,30-32,23788.0,0.24747973907886933
1931,MLB,batting,33-35,8637.0,0.08985549463696799
1931,MLB,batting,36+,5277.0,0.05489955368753966
1932,MLB,batting,<=23,9254.0,0.09581991571492177
1932,MLB,batting,24-26,25112.0,0.2600205017757851
1932,MLB,batting,27-29,25605.0,0.2651252368576369
1932,MLB,batting,30-32,20472.0,0.211975936299533
1932,MLB,batting,33-35,12036.0,0.12462594613624361
1932,MLB,batting,36+,4098.0,0.042432463215879554
1933,MLB,batting,<=23,7995.0,0.08450034349733129
1933,MLB,batting,24-26,21942.0,0.23190825978967394
1933,MLB,batting,27-29,26075.0,0.2755905511811024
1933,MLB,batting,30-32,23398.0,0.24729694023146437
1933,MLB,batting,33-35,10482.0,0.11078581620250488
1933,MLB,batting,36+,4723.0,0.04991808909792316
1934,MLB,batting,<=23,9402.0,0.09838535834998902
1934,MLB,batting,24-26,22477.0,0.23520609440892395
1934,MLB,batting,27-29,26982.0,0.28234777058066407
1934,MLB,batting,30-32,21069.0,0.22047235854881073
1934,MLB,batting,33-35,11598.0,0.12136496342726788
1934,MLB,batting,36+,4035.0,0.04222345468434436
1935,MLB,batting,<=23,10301.0,0.10707677595060394
1935,MLB,batting,24-26,24085.0,0.25035862040290224
1935,MLB,batting,27-29,30304.0,0.3150038460738862
1935,MLB,batting,30-32,17971.0,0.18680484813205547
1935,MLB,batting,33-35,9879.0,0.10269017276148105
1935,MLB,batting,36+,3662.0,0.03806573667907112
1936,MLB,batting,<=23,9423.0,0.09626700993012137
1936,MLB,batting,24-26,22862.0,0.23356217563646767
1936,MLB,batting,27-29,29454.0,0.3009071962731396
1936,MLB,batting,30-32,20807.0,0.212567937558743
1936,MLB,batting,33-35,11263.0,0.11506477054472641
1936,MLB,batting,36+,4075.0,0.04163091005680193
1937,MLB,batting,<=23,9453.0,0.0983171776844032
1937,MLB,batting,24-26,21337.0,0.22191829263219204
1937,MLB,batting,27-29,30667.0,0.3189561925365062
1937,MLB,batting,30-32,20521.0,0.21343137662769895
1937,MLB,batting,33-35,10328.0,0.10741773099804468
1937,MLB,batting,36+,3842.0,0.03995922952115489
1938,MLB,batting,<=23,11177.0,0.11722445383703735
1938,MLB,batting,24-26,21171.0,0.22204159543561938
1938,MLB,batting,27-29,26742.0,0.2804702822322674
1938,MLB,batting,30-32,22119.0,0.23198422603752608
1938,MLB,batting,33-35,9614.0,0.10083169895224811
1938,MLB,batting,36+,4524.0,0.04744774350530169
1939,MLB,batting,<=23,14661.0,0.15287480970157036
1939,MLB,batting,24-26,18680.0,0.19478217346874935
1939,MLB,batting,27-29,27909.0,0.2910158286584221
1939,MLB,batting,30-32,21272.0,0.22180976413422035
1939,MLB,batting,33-35,9399.0,0.09800629809597297
1939,MLB,batting,36+,3981.0,0.04151112594106484
1940,MLB,batting,<=23,17346.0,0.18087591240875914
1940,MLB,batting,24-26,20335.0,0.21204379562043796
1940,MLB,batting,27-29,23304.0,0.2430031282586027
1940,MLB,batting,30-32,20993.0,0.2189051094890511
1940,MLB,batting,33-35,10509.0,0.10958289885297184
1940,MLB,batting,36+,3413.0,0.03558915537017727
1941,MLB,batting,<=23,12340.0,0.12789685336428838
1941,MLB,batting,24-26,31007.0,0.3213693462128436
1941,MLB,batting,27-29,20307.0,0.21047012976244767
1941,MLB,batting,30-32,16811.0,0.17423614278015007
1941,MLB,batting,33-35,12938.0,0.1340947721902077
