player_uid,season,league,team_id,name_full,avg,obp,slg,woba,wrc_plus,bb_pct,k_pct,iso,babip,pa
milb_tmp:eduarlin_tejeda:2024,2024,MiLB,SDP,Eduarlin Tejeda,0.210526315,0.341614906,0.240601503,0.3212675056102113,71.77233676076045,0.141975308,0.24691358,0.030075188,0.29787234,162
milb_tmp:yosneiker_rivas:2024,2024,MiLB,SFG,Yosneiker Rivas,0.244604316,0.407821229,0.345323741,0.3977733950375178,116.66511031441556,0.198895027,0.232044198,0.100719425,0.340206185,181
milb_tmp:carlos_concepcion:2024,2024,MiLB,SFG,Carlos Concepcion,0.243902439,0.361809045,0.365853658,0.3714783437287987,107.2850777277375,0.115577889,0.306532663,0.121951219,0.3592233,199
milb_tmp:angel_guzman:2024,2024,MiLB,SFG,Angel Guzman,0.304635761,0.475,0.523178807,0.4916428643465042,173.59673999208798,0.223880597,0.19402985,0.218543046,0.371428571,201
milb_tmp:jaeden_calderon:2024,2024,MiLB,PHI,Jaeden Calderon,0.28169014,0.429347826,0.443661971,0.4391572501348412,145.07011666913195,0.141304347,0.217391304,0.161971831,0.356435643,184
milb_tmp:fabian_lopez:2024,2024,MiLB,MIA,Fabian Lopez,0.204081632,0.26635514,0.306122448,0.28010801372127,62.20334361946568,0.074766355,0.261682242,0.102040816,0.273381294,214
milb_tmp:andru_arthur:2024,2024,MiLB,STL,Andru Arthur,0.260504201,0.423076923,0.352941176,0.410937481201612,129.8600700837921,0.147435897,0.23076923,0.092436975,0.34939759,156
milb_tmp:andres_valor:2024,2024,MiLB,MIA,Andres Valor,0.289340101,0.374449339,0.421319796,0.3860837678027048,123.41997197636468,0.088105726,0.251101321,0.131979695,0.392857142,227
milb_tmp:jancory_de_la_cruz:2024,2024,MiLB,MIA,Jancory De La Cruz,0.205479452,0.357142857,0.335616438,0.3588671783057365,88.89003321857942,0.164835164,0.269230769,0.130136986,0.284210526,182
milb_tmp:john_gil:2024,2024,MiLB,ATL,John Gil,0.25,0.357723577,0.330128205,0.3453813190382671,102.89898208647732,0.127027027,0.191891891,0.080128205,0.311203319,370
