retroID,mlbam
faceu101,819595
,823650
,529397
,453601
zaveb701,431092
kuhej101,117356
,450687
,564174
,443773
,443370
,621164
,701898
,440521
,474823
,657522
,502198
duncf101,819686
,438434
,823640
knoxc101,117215
danij102,113038
depaj003,451546
,502370
,547169
,446178
,464050
chouj001,694192
,544270
hovlj101,116196
slusj001,122330
guere801,
,451892
,439255
,443929
,805688
,623291
,642859
,592601
,821438
,807324
,827364
,669644
,542483
,687615
,554806
,658474
chanm901,
,457331
,703806
,703140
,825129
,567003
,565081
bottr001,111262
,670545
,464108
,801591
,450247
,599698
,439914
,443447
,567289
,473065
campg001,672569
,436756
,596088
,452203
,814761
milej101,119051
,503352
ynoar001,501255
dewis101,819779
,831117
,466702
,442418
,466373
,440879
,684773
,669281
,605257
,442150
,472967
,801921
,665817
longd801,534229
,467331
,682789
,455443
,801963
,437085
,656543
,436594
,829549
,627371
,571686
,681938
,569494
,684460
,673747
,469900
baked102,110468
,517010
chrim101,112260
,556215
despo001,628333
,809961
rossd102,817434
cassh101,112096
,563925
quisu901,
raglf101,120887
,677006
,687947
,656864
,474370
mitcd101,119197
,689312
muram101,119534
,681643
,802495
,561375
,567566
,833431
,641569
,461759
,828784
,457278
wortc101,124587
,679326
,819051
mcfah101,118676
,657738
,439616
ripla101,121224
hudlr001,116258
,566241
,532719
,700655
,828606
,442326
,562939
,442266
,558066
,672405
,670407
,800640
carrb001,448276
,605224
,462547
,533388
lewad101,117727
,673920
,689304
,835998
,695000
,823713
,436218
,442840
,700434
,825289
,643553
,442519
figub001,114115
,441833
,657560
,827110
,700998
,440729
,527388
zellr101,
parkc001,120230
,670404
,684516
jacob002,430944
,820753
,832296
,809735
,678749
,683903
,472678
harmb101,115485
,693205
,817226
,670387
,437496
,455654
,443972
black701,650888
,462636
,438546
cruzh102,112900
,673866
,800471
navad002,537953
tannj101,123086
greer001,115114
,462248
,808993
,694383
gland001,114844
,502680
,555343
,824423
,621256
,506707
,667515
,806057
millj108,119136
,559860
,560435
,567060
,686900
,527029
schup001,572119
,438375
,408217
,532061
,626938
,702298
,435712
,438287
,807191
,829921
,665858
,804593
,678188
,545742
,660165
,642382
,599713
,822162
,461031
,831931
pachj901,
,689551
,694281
,562790
kille101,117057
,694394
,687497
,517595
,441370
,446865
,504607
turnd001,276913
hassa002,572910
,691103
,607064
,801500
,572690
,572742
