year,lgID,G,R,HR,BB,SO,R_per_G,HR_per_G,BB_per_G,SO_per_G,season,run_env
1939,AL,1230,6404,796,4657,4314.0,5.20650406504065,0.6471544715447154,3.786178861788618,3.5073170731707317,1939,5.20650406504065
1939,NL,1232,5472,649,3824,4195.0,4.441558441558442,0.5267857142857143,3.103896103896104,3.4050324675324677,1939,4.441558441558442
1940,AL,1238,6147,883,4497,4727.0,4.965266558966074,0.7132471728594507,3.632471728594507,3.8182552504038774,1940,4.965266558966074
1940,NL,1234,5421,688,3779,4329.0,4.393030794165316,0.5575364667747164,3.0623987034035656,3.5081037277147487,1940,4.393030794165316
1941,AL,1244,5902,734,4742,4425.0,4.744372990353698,0.590032154340836,3.811897106109325,3.557073954983923,1941,4.744372990353698
1941,NL,1244,5266,597,4149,4414.0,4.233118971061093,0.47990353697749194,3.335209003215434,3.5482315112540195,1941,4.233118971061093
1942,AL,1222,5211,533,4318,4144.0,4.2643207855973815,0.43617021276595747,3.5335515548281506,3.3911620294599016,1942,4.2643207855973815
1942,NL,1226,4784,538,4076,4189.0,3.902120717781403,0.43882544861337686,3.3246329526916805,3.4168026101141926,1942,3.902120717781403
1943,AL,1234,4796,473,4325,4498.0,3.886547811993517,0.3833063209076175,3.504862236628849,3.6450567260940034,1943,3.886547811993517
1943,NL,1242,4898,432,4048,4059.0,3.9436392914653786,0.34782608695652173,3.259259259259259,3.2681159420289854,1943,3.9436392914653786
1944,AL,1238,5058,459,3951,4244.0,4.08562197092084,0.37075928917609047,3.191437802907916,3.4281098546042004,1944,4.08562197092084
1944,NL,1246,5295,575,3984,3941.0,4.24959871589085,0.46147672552166935,3.197431781701445,3.162921348314607,1944,4.24959871589085
1945,AL,1224,4774,430,4145,4186.0,3.900326797385621,0.35130718954248363,3.386437908496732,3.4199346405228757,1945,3.900326797385621
1945,NL,1236,5512,577,4150,3864.0,4.459546925566343,0.46682847896440127,3.3576051779935274,3.1262135922330097,1945,4.459546925566343
1946,AL,1242,5037,653,4401,5228.0,4.055555555555555,0.5257648953301127,3.5434782608695654,4.209339774557166,1946,4.055555555555555
1946,NL,1242,4916,562,4399,4474.0,3.9581320450885666,0.4524959742351047,3.5418679549114334,3.602254428341385,1946,3.9581320450885666
1947,AL,1246,5161,679,4745,4633.0,4.142054574638844,0.5449438202247191,3.808186195826645,3.718298555377207,1947,4.142054574638844
1947,NL,1240,5666,886,4477,4529.0,4.569354838709677,0.714516129032258,3.610483870967742,3.6524193548387096,1947,4.569354838709677
