year,role,mlbam,player_name,pitch_type,pitches,usage_rate,zone_rate,whiff_rate,z_whiff_rate,o_whiff_rate,chase_rate,csw_rate,avg_spin,avg_ext,h_mov_in,v_mov_in,segment,edge_rate,heart_rate
2015,pit,115629,,SI,1,0.0009775171065493,0.0,0.0,0.0,0.0,0.0,0.0,1956.0,6.0,-16.080000000000002,6.6000000000000005,behind,,
2015,pit,115629,,SL,8,0.0078201368523949,0.125,0.25,0.0,0.3333333333333333,0.4285714285714285,0.25,1965.375,6.1,3.255,8.16,,,
2015,pit,115629,,SL,2,0.0019550342130987,0.5,0.5,0.0,1.0,1.0,0.5,2018.0,6.0,5.94,6.24,two_strike,,
2015,pit,115629,,SL,3,0.002932551319648,0.3333333333333333,0.5,0.0,1.0,0.5,0.6666666666666666,2015.0,5.900000000000001,4.6000000000000005,6.0,ahead,,
2015,pit,115629,,SL,2,0.0019550342130987,0.0,0.0,0.0,0.0,0.5,0.0,1593.0,6.35,3.3,8.64,behind,,
2015,pit,150274,,SI,1,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,0.0,2260.0,5.8,-16.44,9.6,,,
2015,pit,150274,,SI,1,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,0.0,2260.0,5.8,-16.44,9.6,ahead,,
2015,pit,150274,,SL,3,0.3333333333333333,0.0,1.0,0.0,1.0,0.6666666666666666,0.6666666666666666,2454.0,5.466666666666666,4.04,3.4,,,
2015,pit,150274,,SL,2,0.2222222222222222,0.0,1.0,0.0,1.0,0.5,0.5,2443.0,5.55,3.3000000000000003,3.3,two_strike,,
2015,pit,150274,,SL,2,0.2222222222222222,0.0,1.0,0.0,1.0,0.5,0.5,2443.0,5.55,3.3000000000000003,3.3,ahead,,
2015,pit,150302,,CH,72,0.0579710144927536,0.2083333333333333,0.5365853658536586,0.4615384615384615,0.5714285714285714,0.4912280701754385,0.3333333333333333,1152.056338028169,6.063888888888889,-10.333333333333334,3.086666666666667,,,
2015,pit,150302,,CH,36,0.0289855072463768,0.1944444444444444,0.4814814814814814,0.4285714285714285,0.5,0.6896551724137931,0.3611111111111111,1101.388888888889,6.013888888888889,-9.27,2.506666666666667,two_strike,,
2015,pit,150302,,CH,27,0.0217391304347826,0.1851851851851851,0.4285714285714285,0.5,0.4,0.4545454545454545,0.2592592592592592,1121.7037037037037,5.992592592592593,-10.595555555555556,2.7022222222222223,ahead,,
2015,pit,150302,,CH,15,0.0120772946859903,0.2666666666666666,0.7272727272727273,0.6666666666666666,0.75,0.7272727272727273,0.6,1128.428571428571,6.046666666666666,-11.231999999999998,3.744,behind,,
2015,pit,150302,,IN,3,0.002415458937198,0.0,0.0,0.0,0.0,0.0,0.0,1773.0,5.65,-14.56,10.04,,,
2015,pit,150302,,IN,2,0.001610305958132,0.0,0.0,0.0,0.0,0.0,0.0,1773.0,5.65,-15.420000000000002,10.56,behind,,
2015,pit,150302,,SI,191,0.1537842190016103,0.5392670157068062,0.0684931506849315,0.0535714285714285,0.1176470588235294,0.1931818181818181,0.2827225130890052,1788.4728260869565,6.291978609625668,-17.46910994764398,6.327329842931938,,,
2015,pit,150302,,SI,36,0.0289855072463768,0.5277777777777778,0.0526315789473684,0.0625,0.0,0.1764705882352941,0.1111111111111111,1799.9142857142858,6.383333333333334,-16.69666666666667,7.136666666666667,two_strike,,
2015,pit,150302,,SI,45,0.036231884057971,0.4888888888888889,0.0625,0.0666666666666666,0.0,0.0434782608695652,0.2222222222222222,1787.1162790697674,6.290909090909091,-16.848,7.117333333333334,ahead,,
2015,pit,150302,,SI,62,0.0499194847020934,0.532258064516129,0.1290322580645161,0.0952380952380952,0.2,0.3448275862068966,0.2741935483870967,1754.4354838709678,6.282258064516129,-17.53161290322581,5.541290322580645,behind,,
2015,pit,150302,,SL,67,0.0539452495974235,0.5223880597014925,0.2941176470588235,0.2727272727272727,0.3333333333333333,0.375,0.3283582089552239,1938.703125,6.197014925373135,2.5379104477611945,5.734925373134328,,,
2015,pit,150302,,SL,20,0.0161030595813204,0.35,0.3333333333333333,0.2,0.4285714285714285,0.5384615384615384,0.25,1976.4736842105265,6.155,1.86,4.602000000000001,two_strike,,
2015,pit,150302,,SL,20,0.0161030595813204,0.4,0.25,0.0,0.4285714285714285,0.5833333333333334,0.2,1872.6470588235293,6.200000000000001,1.434,4.8420000000000005,ahead,,
2015,pit,150302,,SL,19,0.0152979066022544,0.631578947368421,0.25,0.3,0.0,0.2857142857142857,0.3157894736842105,1905.5263157894733,6.184210526315789,4.174736842105264,5.797894736842105,behind,,
2015,pit,150359,,CH,19,0.0042648709315375,0.3157894736842105,0.1111111111111111,0.0,0.25,0.3076923076923077,0.1052631578947368,1659.0526315789473,6.2,-11.501052631578949,2.4063157894736844,,,
2015,pit,150359,,CH,4,0.0008978675645342,0.0,0.0,0.0,0.0,0.25,0.0,1686.75,6.15,-6.330000000000001,-0.3900000000000001,two_strike,,
2015,pit,150359,,CH,4,0.0008978675645342,0.0,1.0,0.0,1.0,0.25,0.25,1661.25,6.2250000000000005,-12.75,4.8,ahead,,
2015,pit,150359,,CH,4,0.0008978675645342,0.75,0.0,0.0,0.0,0.0,0.25,1556.0,6.324999999999999,-13.44,1.11,behind,,
2015,pit,150359,,FF,72,0.0161616161616161,0.4444444444444444,0.1379310344827586,0.0454545454545454,0.4285714285714285,0.175,0.2083333333333333,2096.695652173913,6.529166666666667,-6.040000000000001,12.646666666666668,,,
2015,pit,150359,,FF,27,0.006060606060606,0.3703703703703703,0.1428571428571428,0.1,0.25,0.2352941176470588,0.1111111111111111,2128.923076923077,6.485185185185186,-5.742222222222223,13.31111111111111,two_strike,,
2015,pit,150359,,FF,20,0.0044893378226711,0.35,0.0,0.0,0.0,0.2307692307692307,0.1,2127.4210526315787,6.55,-4.680000000000001,13.494,ahead,,
