year,mlbam,role,pitch_type,segment,vhb,pitches,Z_Pitches,O_Pitches,swings,Z_Swings,O_Swings,whiffs,Z_Whiffs,O_Whiffs,contacts,Z_Contacts,O_Contacts,called,Z_Called,edge,heart,chase,avg_spin,avg_ext,h_mov_in,v_mov_in,usage_rate,zone_rate,whiff_rate,z_whiff_rate,o_whiff_rate,z_swing_rate,o_swing_rate,z_contact_rate,o_contact_rate,csw_rate,z_csw_rate,edge_rate,heart_rate,chase_rate
2015,115629,pit,FF,two_strike,vsL,6,5,1,5,5,0,1,1,0,4,4,0,0,0,4,1,1,2030.3333333333333,6.083333333333333,-0.9233333333333333,0.89,0.05714285714285714,0.8333333333333334,0.2,0.2,0.0,1.0,0.0,0.8,0.0,0.16666666666666666,0.2,0.6666666666666666,0.16666666666666666,0.16666666666666666
2015,115629,pit,FF,two_strike,vsR,17,8,9,11,7,4,2,1,1,9,6,3,1,1,7,1,9,1986.5,6.28125,-0.9464705882352941,1.1264705882352941,0.1619047619047619,0.47058823529411764,0.18181818181818182,0.14285714285714285,0.25,0.875,0.4444444444444444,0.8571428571428571,0.75,0.17647058823529413,0.25,0.4117647058823529,0.058823529411764705,0.5294117647058824
2015,115629,pit,FF,,vsL,16,7,9,4,4,0,0,0,0,4,4,0,4,3,6,1,9,2005.5384615384614,6.264285714285714,-1.0275,0.9275,0.1523809523809524,0.4375,0.0,0.0,0.0,0.5714285714285714,0.0,1.0,0.0,0.25,0.42857142857142855,0.375,0.0625,0.5625
2015,115629,pit,FF,,vsR,16,13,3,8,7,1,2,2,0,6,5,1,6,6,12,1,3,1998.7692307692307,6.285714285714286,-0.9762500000000001,1.094375,0.1523809523809524,0.8125,0.25,0.2857142857142857,0.0,0.5384615384615384,0.3333333333333333,0.7142857142857143,1.0,0.5,0.6153846153846154,0.75,0.0625,0.1875
2015,115629,pit,SI,ahead,vsL,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1956.0,6.0,-1.34,0.55,0.009523809523809525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2015,115629,pit,SI,behind,vsL,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,2032.0,6.0,-1.28,0.52,0.009523809523809525,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2015,115629,pit,SL,ahead,vsL,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1066.0,6.4,0.5,0.87,0.009523809523809525,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2015,115629,pit,SL,ahead,vsR,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2120.0,6.3,0.05,0.57,0.009523809523809525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2015,115629,pit,SL,behind,vsR,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2009.0,5.7,0.16,0.46,0.009523809523809525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2015,115629,pit,SL,two_strike,vsL,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,2022.0,6.1,0.97,0.59,0.009523809523809525,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
