season,pitcher_id,dominant_pitch,usage_entropy,repeat_rate,_role_pitch,batter_id,ev_mean,n_bbe,_role_bat
2015,408234,CH,2.36799529550013,0.675392670157068,Bulk/Swing,,,,
2015,430652,CH,2.1037326842518977,0.5106382978723404,Bulk/Swing,,,,
2015,431151,SI,2.1772317214797634,0.5448717948717948,Bulk/Swing,,,,
2015,433586,SI,1.6684242292283846,0.654535274356103,Bulk/Swing,,,,
2015,434636,CH,2.1394908561373422,0.793918918918919,Bulk/Swing,,,,
2015,434778,CH,2.397948503435026,0.6416184971098265,Bulk/Swing,,,,
2015,435045,FF,1.3705392190829149,0.6050955414012739,High-Leverage RP,,,,
2015,445163,FF,1.8323001932209817,0.5546875,Bulk/Swing,,,,
2015,446899,SI,1.260889693191467,0.6038394415357766,High-Leverage RP,,,,
2015,450212,SI,1.1644911234623456,0.6743978590544157,High-Leverage RP,,,,
2015,453211,CH,2.23457756768385,0.5705128205128205,Bulk/Swing,,,,
2015,453269,SL,2.047322746654321,0.5396825396825397,Bulk/Swing,,,,
2015,460156,FF,1.662315667261201,0.615648201027984,Bulk/Swing,,,,
2015,460283,CU,1.0733942812811266,0.6293103448275862,High-Leverage RP,,,,
2015,475243,FF,1.8945468791278517,0.6509869802603948,Bulk/Swing,,,,
2015,489138,CH,2.265191947545354,0.5592417061611374,Bulk/Swing,,,,
2015,489265,SL,1.6103843300403615,0.6244430299172502,Bulk/Swing,,,,
2015,502083,FF,1.8217682345560953,0.6045016077170418,Bulk/Swing,,,,
2015,502087,SI,1.03581801478616,0.6772908366533864,High-Leverage RP,,,,
2015,519058,CH,2.4185823616976867,0.5591397849462365,Bulk/Swing,,,,
2015,519166,FF,1.1803838260467703,0.5853658536585366,High-Leverage RP,,,,
2015,519168,FF,1.3504993693779304,0.5879556259904913,High-Leverage RP,,,,
2015,523253,CH,2.510699156466016,0.5145631067961165,Bulk/Swing,,,,
2015,542942,SI,2.0101567708822996,0.5315315315315315,Bulk/Swing,,,,
2015,543380,FF,1.6714114589105122,0.6447848285922684,Bulk/Swing,,,,
2015,543456,SI,1.6827391669573522,0.6160714285714286,Bulk/Swing,,,,
2015,543964,FF,1.2169222004657572,0.5947712418300654,High-Leverage RP,,,,
2015,547989,CH,2.5540994862495046,0.4212962962962963,Bulk/Swing,,,,
2015,553988,FF,2.0415502030541406,0.46551724137931033,Bulk/Swing,,,,
2015,554431,FF,1.411438625354948,0.4519230769230769,Bulk/Swing,,,,
2015,571974,CH,2.2237559729835064,0.46153846153846156,Bulk/Swing,,,,
2015,572233,FF,1.8710207465890525,0.28169014084507044,Bulk/Swing,,,,
2015,573204,SI,1.556447653444868,0.4212962962962963,Bulk/Swing,,,,
2015,592407,FF,2.1021081770370245,0.5045045045045045,Bulk/Swing,,,,
2015,593372,FF,1.6416423592550706,0.591614014933946,Bulk/Swing,,,,
2015,605228,FF,1.462517777434594,0.5639958376690947,High-Leverage RP,,,,
2015,607208,FF,1.8740644087632496,0.4583333333333333,Bulk/Swing,,,,
2025,455117,CH,2.6345156280215596,0.014084507042253521,Mixing Starter,,,,
2025,543807,CH,2.3922922035346867,0.05357142857142857,Mixing Starter,,,,
2025,545358,CU,1.5991654107425068,0.038461538461538464,Bulk/Swing,,,,
2025,592094,CH,1.5991654107425068,0.2692307692307692,Bulk/Swing,,,,
2025,592662,CH,1.5991654107425068,0.038461538461538464,Bulk/Swing,,,,
2025,596103,EP,2.5213167503563056,0.056338028169014086,Mixing Starter,,,,
2025,605130,CU,1.782694688604736,0.0,Bulk/Swing,,,,
2025,605138,CH,1.374545192908375,0.3333333333333333,Bulk/Swing,,,,
2025,605452,CH,1.5991654107425068,0.23076923076923078,Bulk/Swing,,,,
2025,607536,CH,1.7826946886047361,0.03225806451612903,Bulk/Swing,,,,
2025,608360,CH,1.5991654107425068,0.11538461538461539,Bulk/Swing,,,,
2025,608379,CH,1.782694688604736,0.0967741935483871,Bulk/Swing,,,,
2025,621097,CH,1.374545192908375,0.14285714285714285,Bulk/Swing,,,,
2025,623993,CH,2.270764496273168,0.32967032967032966,Bulk/Swing,,,,
2025,625643,CH,1.374545192908375,0.19047619047619047,Bulk/Swing,,,,
2025,641487,CH,2.4797076717021445,0.06557377049180328,Mixing Starter,,,,
2025,650671,CH,1.374545192908375,0.19047619047619047,Bulk/Swing,,,,
2025,650895,FF,1.0852280400722045,0.3125,Bulk/Swing,,,,
2025,656730,FF,0.6791932659915256,0.45454545454545453,Bulk/Swing,,,,
2025,656976,CH,2.3922922035346867,0.03571428571428571,Mixing Starter,,,,
2025,657041,CH,2.2965114666021638,0.0392156862745098,Mixing Starter,,,,
2025,657376,FC,1.782694688604736,0.0967741935483871,Bulk/Swing,,,,
2025,657510,FC,0.6791932659915256,0.18181818181818182,Bulk/Swing,,,,
2025,657757,CH,2.4797076717021445,0.0,Mixing Starter,,,,
2025,663559,CU,1.5991654107425068,0.19230769230769232,Bulk/Swing,,,,
2025,665833,CH,2.4797076717021445,0.06557377049180328,Mixing Starter,,,,
2025,665923,CH,2.0721529997457324,0.07317073170731707,Mixing Starter,,,,
2025,665926,CH,2.2965114666021638,0.0784313725490196,Mixing Starter,,,,
2025,666157,CH,1.3745451929083752,0.23809523809523808,Bulk/Swing,,,,
2025,666160,CH,2.3922922035346867,0.03571428571428571,Mixing Starter,,,,
2025,666168,CH,1.5991654107425068,0.19230769230769232,Bulk/Swing,,,,
2025,666464,CH,2.3922922035346867,0.05357142857142857,Mixing Starter,,,,
2025,666915,CH,2.190596802970671,0.043478260869565216,Mixing Starter,,,,
