season,pitcher_id,from2,from1,to_pt,n,prob
2015.0,218596,FC,FS,SI,2,1.0
2015.0,218596,CU,CU,FC,2,0.6666666666666666
2015.0,218596,FC,CU,FF,2,0.13333333333333333
2015.0,218596,FC,CU,FS,2,0.13333333333333333
2015.0,218596,PO,SI,SI,2,0.6666666666666666
2015.0,218596,SI,CU,FS,2,0.4
2015.0,218596,PO,FS,CU,2,0.3333333333333333
2015.0,218596,FS,SI,PO,2,0.16666666666666666
2015.0,218596,FS,SI,FF,2,0.16666666666666666
2015.0,218596,CU,FS,SI,2,0.5
2015.0,218596,SI,SI,FS,2,0.2222222222222222
2015.0,218596,FF,FS,PO,2,0.2222222222222222
2015.0,218596,FS,CU,FC,2,0.6666666666666666
2015.0,218596,FF,SI,FS,2,0.6666666666666666
2015.0,218596,CU,FC,FS,1,0.06666666666666667
2015.0,218596,FS,FS,FS,1,0.3333333333333333
2015.0,218596,CU,SI,FC,1,0.2
2015.0,218596,CU,SI,SI,1,0.2
2015.0,218596,CU,FF,CU,1,0.5
2015.0,218596,CU,FF,FC,1,0.5
2015.0,218596,CU,FC,SI,1,0.06666666666666667
2015.0,218596,SI,FS,SI,1,0.1
2015.0,218596,CU,PO,FS,1,1.0
2015.0,218596,PO,CU,FC,1,1.0
2015.0,218596,SI,FS,FS,1,0.1
2015.0,218596,FF,FC,SI,1,0.1111111111111111
2015.0,218596,FS,FF,CU,1,0.1111111111111111
2015.0,218596,PO,SI,FS,1,0.3333333333333333
2015.0,218596,CU,CU,SI,1,0.3333333333333333
2015.0,218596,FF,FC,FF,1,0.1111111111111111
2015.0,218596,FC,CU,PO,1,0.06666666666666667
2015.0,218596,SI,FC,CU,1,0.5
2015.0,218596,SI,FC,FF,1,0.5
2015.0,218596,FS,SI,FS,1,0.08333333333333333
2015.0,218596,FS,SI,FC,1,0.08333333333333333
2015.0,218596,SI,PO,CU,1,0.16666666666666666
2015.0,218596,FC,FF,FC,1,0.09090909090909091
2015.0,218596,CU,FS,PO,1,0.25
2015.0,218596,FC,SI,CU,1,0.5
2015.0,218596,FS,FC,FS,1,0.25
2015.0,218596,CU,FS,CU,1,0.25
2015.0,218596,FC,FF,FF,1,0.09090909090909091
2015.0,218596,SI,SI,CU,1,0.1111111111111111
2015.0,218596,SI,FF,FS,1,0.5
2015.0,218596,SI,FF,FC,1,0.5
2015.0,218596,FC,SI,FS,1,0.5
2015.0,218596,FC,FF,CU,1,0.09090909090909091
2015.0,218596,FF,SI,PO,1,0.3333333333333333
2015.0,218596,FF,FS,FF,1,0.1111111111111111
2015.0,218596,FF,FF,FC,1,1.0
2015.0,218596,FS,CU,SI,1,0.3333333333333333
2015.0,234194,FF,SI,SL,4,0.6666666666666666
2015.0,234194,SI,SL,SL,4,0.8
2015.0,234194,CH,FF,SI,3,0.75
2015.0,234194,FF,CH,FF,2,1.0
2015.0,234194,SI,FF,CH,2,0.6666666666666666
2015.0,234194,FF,SI,CH,1,0.16666666666666666
2015.0,234194,SL,SL,FF,1,0.3333333333333333
2015.0,234194,SL,SL,SI,1,0.3333333333333333
2015.0,234194,SL,SL,CH,1,0.3333333333333333
2015.0,234194,FF,SI,FF,1,0.16666666666666666
2015.0,234194,FF,FF,SI,1,1.0
2015.0,234194,SL,SI,SL,1,0.5
2015.0,234194,SL,SI,FF,1,0.5
2015.0,234194,SL,FF,SI,1,1.0
2015.0,234194,SI,CH,FF,1,1.0
2015.0,234194,FF,SL,SI,1,1.0
2015.0,234194,SL,CH,SI,1,0.5
2015.0,234194,CH,FF,SL,1,0.25
2015.0,234194,CH,SI,SI,1,1.0
2015.0,234194,SI,FF,SI,1,0.3333333333333333
2015.0,234194,SI,SI,FF,1,1.0
2015.0,234194,SL,CH,FF,1,0.5
2015.0,234194,SI,SL,CH,1,0.2
2015.0,276351,FF,SL,FF,4,0.5
2015.0,276351,IN,FF,CH,3,1.0
2015.0,276351,SL,SL,SL,3,0.42857142857142855
2015.0,276351,SL,SL,FF,3,0.42857142857142855
2015.0,276351,FF,FF,SL,3,1.0
2015.0,276351,FF,SL,SL,3,0.375
2015.0,276351,SL,FF,SL,3,0.375
2015.0,276351,SL,FF,SI,3,0.375
2015.0,276351,SI,IN,FF,2,1.0
2015.0,276351,FF,IN,SI,2,1.0
2015.0,276351,IN,SI,SL,2,1.0
