season,pitcher_id,dominant_pitch,dominant_usage,usage_entropy,repeat_rate
2025,642216,CH,0.25925925925925924,1.5991654107425068,0.15384615384615385
2025,642851,CH,0.11290322580645161,2.4797076717021445,0.11475409836065574
2025,643376,CH,0.11290322580645161,2.4797076717021445,0.08196721311475409
2025,656354,SI,0.5833333333333334,0.6791932659915256,0.2727272727272727
2025,656811,CH,0.1044776119402985,2.56010089119047,0.015151515151515152
2025,656818,CH,0.21875,1.782694688604736,0.1935483870967742
2025,657756,CH,0.3181818181818182,1.374545192908375,0.2857142857142857
2025,663158,CH,0.3181818181818182,1.374545192908375,0.19047619047619047
2025,663647,CH,0.11290322580645161,2.4797076717021445,0.01639344262295082
2025,663671,CH,0.3181818181818182,1.374545192908375,0.14285714285714285
2025,663765,CH,0.25925925925925924,1.5991654107425068,0.15384615384615385
2025,663837,CH,0.1346153846153846,2.2965114666021638,0.058823529411764705
2025,663969,CU,0.25925925925925924,1.5991654107425068,0.11538461538461539
2025,664056,CH,0.09090909090909091,2.7037791242722005,0.02631578947368421
